District,Center,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisturevol01,soilmoisturevol04,soilmoisturevol10,soilmoisturevol20,
Huye,DorGran PlatSud,25.1,15.1,19.9,25.1,15.1,19.9,15,75.4,0.4,100,16.67,rain,0,0,30.6,16.6,14.6,1013.4,90.2,,245.6,21.1,9,21.7,21.1,20.3,20.3,34.3,116.3,166.9,403,0.343,0.388,0.417,0.403
Huye,DorGran PlatSud,24.9,14.5,20.3,24.9,14.5,20.3,14.6,71.7,0.2,100,8.33,rain,0,0,29.5,11.5,323.8,1013,84.4,,235.8,20.4,9,21.8,21.3,20.3,20.3,34,115.7,166.3,403,0.34,0.386,0.416,0.403
GASABO,Plateau du Bumbogo Buliza,28,18,22,28.6,18,22.1,17.2,76.4,0,0,0,,0,0,30.6,14.7,76.2,1019,65.4,8.8,251.1,21.8,9,21.8,21.6,21.6,21.6,38.4,117.5,161,392,0.384,0.392,0.403,0.392
GASABO,Plateau du Bumbogo Buliza,29,16.1,22.5,28.8,16.1,22.5,15.8,69.2,0.12,100,4.17,rain,0,0,21.2,11.1,69.9,1018.6,40.9,9,239.4,20.7,8,22,21.8,21.6,21.6,37.7,117.5,161.2,392,0.377,0.392,0.403,0.392
Moyenne Globale,Moyenne Globale,23,15.2,19.1,23,15.2,19.1,17.7,91.9,0.2,100,8.33,rain,0,0,32,11.2,264.1,1020.3,59.9,8.6,233.7,20.2,9,21.3,21.8,21.7,21.7,38.8,110.5,147.9,353,0.388,0.368,0.37,0.353
Moyenne Globale,Moyenne Globale,30,15,21.6,30.8,15,21.7,16.8,77.5,0.1,100,4.17,rain,0,0,22.7,9.4,80.1,1017.8,48.4,8.8,216.3,18.8,8,21.8,21.7,21.7,21.7,39.4,113.3,147.3,353,0.394,0.378,0.368,0.353
Moyenne Globale,Moyenne Globale,24,16,19.2,24,16,19.2,17.9,92.7,12,100,4.17,rain,0,0,38.9,18.4,188.8,1017.9,55.6,9.1,215.3,18.4,8,21.2,21.7,21.7,21.7,41,115.9,146.9,353,0.41,0.386,0.367,0.353
Moyenne Globale,Moyenne Globale,24,14.3,18.7,24,14.3,18.7,17.2,91.7,0,0,0,,0,0,27,14.8,145.5,1017.9,70.4,6.9,178.1,15.6,7,20.9,21.2,21.7,21.7,41.1,117.8,147.2,353,0.411,0.393,0.368,0.353
Moyenne Globale,Moyenne Globale,28,15,20.4,28.6,15,20.5,17.3,84.6,0,0,0,,0,0,28.1,18.4,110.9,1018.8,54,7.7,302.3,26.2,10,21.3,21.4,21.7,21.7,39.9,116.5,147,353,0.399,0.388,0.367,0.353
Moyenne Globale,Moyenne Globale,31,16.7,23.6,29.7,16.7,23.3,15.2,65.6,0.1,100,4.17,rain,0,0,24.5,16.6,61.9,1017.1,45.3,9.1,312.2,26.9,10,21.9,21.6,21.7,21.7,38.7,115.2,146.8,352.6,0.387,0.384,0.367,0.353
GASABO,Plateau du Bumbogo Buliza,29,18,23.2,28.8,18,23.2,15.6,64.2,0,0,0,,0,0,24.1,18.4,69.3,1018.9,60.8,8.8,260,22.5,9,21.9,21.8,21.6,21.6,37.1,117,160.8,392,0.371,0.39,0.402,0.392
GASABO,Plateau du Bumbogo Buliza,29,19,23.1,29.1,19,23.3,17,69.7,0,0,0,,0,0,16.6,14.8,77,1018.9,56.2,8.7,244.2,21,9,22,21.8,21.6,21.6,36.3,116.4,160.2,392,0.363,0.388,0.401,0.392
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,30,16.1,22.4,30,16.1,22.4,14.7,63.5,0,0,0,,0,0,28.8,13,22,1018.4,55.5,9.9,218.4,19,7,16.6,16.5,16.4,16.4,45.8,138.3,182.3,482.5,0.458,0.461,0.456,0.483
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,31,17.2,23.3,30.1,17.2,23.2,14.8,61.8,0.1,100,4.17,rain,0,0,26.3,16.6,3.8,1018.1,56.6,10.2,238,20.4,8,16.2,16.2,16.4,16.4,44.8,137.1,182.4,482,0.448,0.457,0.456,0.482
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,28,14.2,21.6,28.3,14.2,21.7,15.1,68.3,0.5,100,12.5,rain,0,0,33.1,13,296.9,1017.5,64.8,8.9,210.4,18.2,8,16.8,16.5,16.4,16.4,44.1,135,180.9,481.9,0.441,0.45,0.452,0.482
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,31,12.8,23.9,29.8,12.8,23.7,14.1,58.1,0,0,0,,0,0,25.2,11.2,31.6,1017.4,47.9,9,231,19.9,8,16.8,16.5,16.4,16.4,43.5,133.4,179.2,481,0.435,0.445,0.448,0.481
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,30,15.2,22.1,29.7,15.2,22.2,15.5,67.6,0.2,100,4.17,rain,0,0,29.2,22.3,227.4,1018.5,72.8,8.8,225.7,19.4,7,17.3,16.8,16.4,16.4,43.2,132.1,177.5,480.8,0.432,0.44,0.444,0.481
GASABO,Plateau du Bumbogo Buliza,25.1,18,20.7,25.1,18,20.7,18,85.8,0.7,100,12.5,rain,0,0,16.6,11.2,161,1018.5,86.1,8,144.2,12.5,5,21.9,21.8,21.6,21.6,36.1,116,159.5,392,0.361,0.387,0.399,0.392
NYAMASHEKE,BAS-Fonds de la Dorsale Granitique,28,17,22.1,28.3,17,22.2,17,74.7,1,100,4.17,rain,0,0,26.6,13.4,198.2,1019,58.1,7.8,239.3,20.7,9,17.3,16.9,16.4,16.4,42.4,130.5,175.6,480,0.424,0.435,0.439,0.48
GASABO,Plateau du Bumbogo Buliza,27,17,21.2,28.2,17,21.3,18.1,84.1,2.949,100,4.17,rain,0,0,19.8,12,140.9,1018.5,66.7,8.5,222.6,19.2,8,22.3,21.9,21.6,21.6,35.8,115.7,159.2,392,0.358,0.386,0.398,0.392
